위치,일시,현재발전출력,수평일사량1,수평일사량2,경사일사량1,경사일사량2,외기온도1,외기온도2,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C)
C,2016-01-27,369.43432555283806,194.9630640740884,272.4253427087897,202.97373296481808,243.39403045772588,14.08501350177873,3.6108230386541447,6.2,1028.7,51.0,6.5
C,2016-01-28,328.5699261157949,70.70384352472682,290.5550261826331,46.28288371094703,348.94431184850595,10.88684808236471,5.327547753110653,5.5,1027.4,60.0,7.6
C,2016-01-29,489.42737381472807,386.99476935938253,213.95856963044562,202.17627261233426,297.67935491636405,0.7160280004462312,5.428330717066653,12.3,1021.4,84.0,8.5
C,2016-01-30,431.0287761689155,55.37414034009748,267.4073512411321,281.2037299999898,59.70571565961128,9.354314514155558,1.670534212933411,8.8,1023.4,79.0,8.2
C,2016-01-31,351.0675319274144,367.6963662917638,237.52453883520317,480.56809082574296,98.85474531735315,12.346625697606472,0.2119647660015605,5.4,1025.5,54.0,6.8
C,2017-01-01,50.00689408267498,190.14466248214734,326.35872600080194,436.9094540660238,557.7964109367142,10.485728881660515,4.401129938578647,4.6,1027.0,56.0,9.9
C,2017-01-02,125.67669728410463,183.99068221138222,107.80761100292801,432.17573996426955,6.250522091690256,0.7635756869894493,3.2894936800399845,5.6,1021.2,55.0,12.1
C,2017-01-03,88.26205088019039,277.7559351979823,291.9899546576214,346.7219149053873,42.265760834802144,1.9706223271461116,0.5078614851126938,5.9,1021.8,42.0,10.9
C,2017-01-04,183.79373906463687,399.53371605921336,98.0298034723818,497.23118781703033,36.69746969491449,3.323066423586685,5.504894201520055,6.6,1022.1,48.0,11.3
C,2017-01-05,106.65556234635781,436.58895576997895,53.98007554601692,253.9070145992754,431.93837994724106,15.912477704055561,1.6553740202325542,9.6,1026.0,62.0,10.6
C,2017-01-06,460.76765195474957,382.18172172671547,72.62682853633883,321.96357655852677,350.1121129404306,1.9000115906049304,4.429062819431388,6.6,1026.7,56.0,9.6
